,28xeuclidean,28xcosine,id
0,"[0.4624587  0.28838015 0.03283232 0.15960506 0.20031327 0.07177964
 0.19067296 0.75083885 0.49529102 0.62206376 0.66277197 0.39067906
 0.27178574 0.25554782 0.12877509 0.08806688 0.36015978 0.4790531
 0.12677273 0.16748095 0.10461196 0.22350528 0.04070821 0.23138469
 0.35027801 0.27209291 0.39098623 0.11889332]","[-1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",00i15xzd
1,"[0.41555558 0.28650367 0.42649976 0.12826712 0.01651365 0.3446146
 0.13810503 0.12905192 0.01094418 0.28728846 0.39904194 0.07094099
 0.27745055 0.1399961  0.15823654 0.26999002 0.05811093 0.14839863
 0.29823264 0.40998612 0.08188517 0.28839473 0.11175348 0.21634747
 0.00983791 0.32810095 0.12159139 0.20650956]","[-1.  1. -1.  1.  1. -1.  1. -1.  1. -1. -1.  1. -1. -1.  1.  1. -1.  1.
 -1. -1.  1. -1.  1. -1.  1. -1.  1. -1.]",08oi5ot0
2,"[4.59232200e-02 5.35825364e-01 8.01250339e-03 4.06453144e-02
 1.75075114e-01 9.93420817e-02 4.59411573e-02 5.81748584e-01
 5.39357234e-02 5.27790561e-03 1.29151894e-01 5.34188617e-02
 1.79372728e-05 5.27812861e-01 5.76470679e-01 7.10900478e-01
 6.35167446e-01 5.81766522e-01 4.86578178e-02 1.83087617e-01
 1.07354585e-01 5.39536607e-02 1.34429799e-01 5.86967673e-02
 5.29584289e-03 7.57330321e-02 1.29133957e-01 5.34009244e-02]","[ 1.  1.  1.  1. -1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1. -1.  1.
  1. -1. -1.  1. -1. -1.  1.  1. -1. -1.]",0d6lhkyn
3,"[0.2966832  0.04269319 0.05497344 0.08159075 0.10675462 0.07331076
 0.09212065 0.25399001 0.24170975 0.21509245 0.40343782 0.36999396
 0.38880385 0.01228026 0.03889756 0.14944781 0.11600395 0.13481384
 0.0266173  0.16172806 0.1282842  0.14709409 0.18834537 0.15490151
 0.1737114  0.03344386 0.01463397 0.01880989]","[ 1.  1.  1.  1. -1. -1. -1.  1.  1.  1. -1. -1. -1.  1.  1. -1. -1. -1.
  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.]",0l0w57fc
4,"[0.14662279 0.01836102 0.70341544 0.01646161 0.11723623 0.18724452
 0.11882634 0.12826177 0.85003823 0.13016118 0.26385902 0.04062173
 0.26544914 0.72177646 0.00189941 0.13559724 0.1688835  0.13718736
 0.71987705 0.58617921 0.89065996 0.58458909 0.13369784 0.17078291
 0.13528796 0.30448075 0.00159012 0.30607086]","[ 1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",0qpop5a9
5,"[0.09082551 0.10639881 0.38529372 0.21695633 0.24389954 0.84888572
 0.00286124 0.01557329 0.47611924 0.30778185 0.33472505 0.93971123
 0.09368675 0.49169253 0.32335514 0.35029835 0.95528452 0.10926004
 0.16833739 0.14139418 0.46359199 0.38243248 0.02694321 0.63192938
 0.21409509 0.60498618 0.2410383  0.84602448]","[ 1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",0ri46tfh
6,"[0.01996012 0.584491   0.41361059 0.01407816 0.2672074  0.31708626
 0.00257277 0.56453088 0.43357071 0.00588197 0.24724728 0.29712614
 0.0225329  0.99810159 0.57041284 0.3172836  0.26740474 0.58706377
 0.42768875 0.68081799 0.73069686 0.41103782 0.25312924 0.30300811
 0.01665093 0.04987887 0.26978017 0.31965904]","[ 1.  1. -1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.]",10xj3h72
7,"[0.44765519 0.44390514 0.14441863 0.17210528 0.09704977 0.01430258
 0.13724221 0.89156034 0.59207382 0.27554991 0.54470497 0.46195778
 0.31041298 0.29948652 0.61601043 0.34685537 0.42960256 0.58114736
 0.31652391 0.04736885 0.13011605 0.28166084 0.26915506 0.18640786
 0.03486307 0.08274719 0.23429199 0.15154479]","[-1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]",1qm1gvxq
8,"[0.04441884 0.05299197 0.31568603 0.04488223 0.437039   0.41899158
 0.07630636 0.00857313 0.36010487 0.08930106 0.48145784 0.46341041
 0.03188752 0.368678   0.09787419 0.49003097 0.47198354 0.02331439
 0.2708038  0.12135297 0.10330555 0.39199239 0.39215677 0.37410935
 0.12118859 0.01804742 0.51334536 0.49529794]","[ 1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.
  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.]",2iaym4x3
9,"[0.0922384  0.42498992 0.64916146 0.26595683 0.45602635 0.23644179
 0.812877   0.51722832 0.74139985 0.35819523 0.54826474 0.14420339
 0.9051154  0.22417153 0.15903309 0.03103642 0.66143171 0.38788708
 0.38320463 0.19313511 0.88560325 0.16371554 0.19006952 0.50239862
 0.54692017 0.69246814 0.35685065 1.04931879]","[ 1. -1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1.  1. -1.  1.
 -1.  1. -1.  1. -1.  1. -1. -1.  1. -1.]",39mr6yrh
