,28xeuclidean,28xcosine,id
0,"[1.33776857 1.37216502 1.26314187 1.36489187 1.41421356 1.35928305
 1.41421356 1.34987813 1.37793731 1.36635108 1.37223811 1.32994937
 1.31823728 1.3687334  1.39870763 1.3790796  1.30807212 1.41421356
 1.23071901 1.41421356 1.35477671 1.3783518  1.35357962 1.39401722
 1.41421356 1.41421356 1.39030653 1.35233728]","[0.10518762 0.05858158 0.20223631 0.06853509 0.         0.0761748
 0.         0.08891452 0.05064438 0.06654236 0.05848129 0.11561733
 0.13112523 0.06328444 0.02180848 0.04906972 0.14447366 0.
 0.24266536 0.         0.08229003 0.05007316 0.08391111 0.028358
 0.         0.         0.03352388 0.08559195]",00i15xzd
1,"[1.32960723 1.26013417 1.32173204 1.37604165 1.22210278 1.35946537
 1.34062886 1.3300982  1.27617353 1.35008581 1.30765024 1.37270888
 1.29109914 1.32639601 1.34599612 1.15837926 1.31537297 1.30805109
 1.3754588  1.31388151 1.36339958 1.34199722 1.34921278 1.3911858
 1.38285422 1.30862444 1.29474385 1.34390652]","[0.1160723  0.20603094 0.12651221 0.05325468 0.2532324  0.07592696
 0.10135712 0.11541938 0.18569056 0.08863415 0.14502543 0.05783517
 0.16653151 0.12033682 0.09414722 0.32907874 0.13489698 0.14450117
 0.05405655 0.13685769 0.0705708  0.09952173 0.08981244 0.03230104
 0.04385711 0.14375104 0.16181918 0.09695763]",08oi5ot0
2,"[1.28296294 1.30087364 1.34778291 1.31480745 1.33747753 1.28350422
 1.3553991  1.35444209 1.2354015  1.37784791 1.23802167 1.19065904
 1.32012792 1.36056663 1.37738255 1.32175407 1.33843669 1.33403076
 1.32834528 1.20029653 1.24591627 1.28878284 1.35646856 1.36289776
 1.26265141 1.30353616 1.31966871 1.35288063]","[0.17700305 0.15386389 0.09174062 0.13564068 0.10557692 0.17630845
 0.08144665 0.08274331 0.23689157 0.05076757 0.23365117 0.29116552
 0.12863114 0.07442922 0.05140865 0.1264831  0.10429361 0.11018097
 0.11774941 0.27964411 0.22384632 0.16951939 0.07999653 0.07125485
 0.20285571 0.15039674 0.12923725 0.084857  ]",0d6lhkyn
3,"[1.31426855 1.33033379 1.38880343 1.34079358 1.2946103  1.34238786
 1.30772157 1.36342894 1.40129098 1.29727654 1.32918475 1.37516783
 1.34324558 1.35507809 1.36155699 1.35890227 1.28652361 1.28464035
 1.39879255 1.38088562 1.37684891 1.37635344 1.33824519 1.35350636
 1.33851854 1.33375992 1.21947158 1.30939961]","[0.1363491  0.115106   0.03561252 0.10113629 0.16199209 0.09899742
 0.14493214 0.07053076 0.01819179 0.15853678 0.11663395 0.05445672
 0.09784566 0.08188169 0.07308129 0.07669231 0.17242851 0.17484959
 0.0216897  0.04657746 0.05214353 0.05282561 0.1045499  0.08401027
 0.10418405 0.11054224 0.25644453 0.14273633]",0l0w57fc
4,"[1.27805016 1.36108531 1.29941062 1.3100247  1.33486349 1.26556543
 1.3067114  1.31971003 1.34223936 1.3362015  1.31943705 1.27724183
 1.35861899 1.39936045 1.37238312 1.36955827 1.35728587 1.38594687
 1.40199296 1.32530161 1.34801242 1.38407995 1.34434934 1.33553629
 1.37708447 1.34678116 1.36815107 1.28809854]","[0.18329389 0.07372339 0.15576602 0.14191765 0.10906973 0.19917207
 0.14625266 0.12918272 0.09919676 0.10728277 0.12954294 0.18432666
 0.07707722 0.02089517 0.05828229 0.06215507 0.07888754 0.03957564
 0.01720787 0.12178782 0.09143126 0.04216135 0.09636243 0.10817141
 0.05181918 0.09309026 0.06408132 0.17040107]",0qpop5a9
5,"[1.3200019  1.23250014 1.39068563 1.32857602 1.35668908 1.39458632
 1.37935136 1.35469858 1.35112915 1.39818011 1.39402553 1.41421356
 1.23061342 1.39390704 1.35909363 1.35728922 1.3628207  1.37823486
 1.38848988 1.34814929 1.37644925 1.33735164 1.30295756 1.41421356
 1.39776884 1.36113983 1.35579115 1.35906372]","[0.12879749 0.24047171 0.03299674 0.11744287 0.07969737 0.0275645
 0.04869491 0.08239588 0.08722501 0.02254619 0.02834641 0.
 0.24279531 0.02851158 0.07643225 0.07888299 0.07135988 0.05023434
 0.03604792 0.09124675 0.05269374 0.10574529 0.1511508  0.
 0.02312113 0.07364918 0.08091518 0.0764729 ]",0ri46tfh
6,"[1.28033074 1.32719623 1.36571684 1.33357388 1.29900022 1.36390007
 1.39420919 1.28905035 1.32310393 1.26982798 1.21985003 1.27656838
 1.25843969 1.33338822 1.37541229 1.33180619 1.36776063 1.30719727
 1.3307168  1.36981564 1.31545838 1.30571971 1.32945069 1.33323653
 1.3527659  1.32426075 1.31842112 1.37182883]","[0.1803766  0.11927508 0.06740875 0.11079036 0.15629922 0.0698883
 0.02809037 0.16917459 0.12469799 0.19376846 0.25598295 0.18518659
 0.20816477 0.11103792 0.05412052 0.11314613 0.06461543 0.14561765
 0.1145964  0.06180255 0.13478463 0.14754802 0.11628044 0.11124018
 0.08501221 0.12316673 0.13088288 0.05904284]",10xj3h72
7,"[1.36719318 1.34952858 1.33384901 1.39877306 1.27492572 1.30919349
 1.38432269 1.34088349 1.38568669 1.330723   1.26622107 1.27318635
 1.35629897 1.36320447 1.37152693 1.3088629  1.29778174 1.41421356
 1.35488222 1.3187513  1.34204316 1.30808216 1.3759745  1.29622104
 1.29530723 1.18571176 1.30058416 1.2854985 ]","[0.0653914  0.0893863  0.11042342 0.02171697 0.18728221 0.1430062
 0.04182535 0.10101574 0.0399362  0.11458816 0.1983421  0.18949826
 0.08022655 0.07083679 0.05945694 0.14343895 0.15788128 0.
 0.08214709 0.13044751 0.09946007 0.14446053 0.05334708 0.1599055
 0.16108959 0.29704381 0.15424042 0.17374681]",1qm1gvxq
8,"[1.33344522 1.34109441 1.34647222 1.31571492 1.32714913 1.36701389
 1.33178362 1.27811845 1.14063392 1.31523474 1.33417418 1.40383359
 1.29057147 1.21785734 1.27333853 1.36227499 1.40705879 1.35491421
 1.27524595 1.30354687 1.29710902 1.29447497 1.33385161 1.31448921
 1.35263933 1.32120701 1.33506723 1.37820687]","[0.11096193 0.10073289 0.09350628 0.13444713 0.11933759 0.06563652
 0.11317619 0.18320661 0.34947713 0.13507879 0.10998963 0.01462562
 0.16721264 0.25841175 0.18930449 0.07210343 0.01009279 0.08210375
 0.18687389 0.15038278 0.1587541  0.16216728 0.11041994 0.13605905
 0.08518342 0.12720602 0.10879774 0.05027291]",2iaym4x3
9,"[1.37912768 1.38176954 1.41421356 1.34012349 1.35796469 1.39881118
 1.35928961 1.41421356 1.41421356 1.30011157 1.31885292 1.39674998
 1.41421356 1.41421356 1.41421356 1.37114912 1.31771537 1.41421356
 1.41421356 1.41421356 1.29242147 1.41421356 1.37463845 1.38191468
 1.41421356 1.37310461 1.41421356 1.41421356]","[0.04900342 0.04535647 0.         0.10203451 0.07796594 0.02166365
 0.07616587 0.         0.         0.15485496 0.13031349 0.02454475
 0.         0.         0.         0.05997505 0.1318131  0.
 0.         0.         0.16482337 0.         0.05518456 0.04515591
 0.         0.05729186 0.         0.        ]",39mr6yrh
