,28xeuclidean,28xcosine,id
0,"[13.83808327 15.58912945 14.85227489 18.0953598  16.75691414 15.0458765
 16.09351921 15.41365242 14.18277359 18.36743927 16.2505188  16.29548645
 15.37720966 14.4806118  17.08267212 15.09302998 14.55810261 14.98549747
 15.94132519 16.05988884 15.70303822 14.78227901 16.00401497 17.74354172
 17.04769135 15.02665234 13.15320969 13.89991951]","[0.6449675  0.4861939  0.54968113 0.40935168 0.32868525 0.5034411
 0.37548363 0.49216783 0.58541358 0.38640633 0.36338502 0.40581873
 0.42751276 0.48722413 0.39526853 0.31404611 0.42398465 0.30768165
 0.49230736 0.26613006 0.36333033 0.36912915 0.41243106 0.3171663
 0.31217766 0.26669684 0.33650985 0.35724047]",00i15xzd
1,"[16.30098724 13.5030117  16.02072716 16.67013168 13.26172066 15.18721771
 14.79367447 16.0203228  14.32626152 15.87759686 15.53642273 15.08360291
 15.92766476 15.82970047 14.64874458 10.66793346 13.26672649 14.07435989
 15.92441559 15.00611877 15.54575253 15.54702568 14.56475353 14.06044579
 14.88368702 12.93643284 14.98934841 15.91858578]","[0.42699054 0.56075835 0.4229326  0.35824892 0.60383952 0.47815576
 0.48845601 0.42789739 0.56976271 0.45877969 0.49290326 0.52035058
 0.4495424  0.41605416 0.48559275 0.73542905 0.58766991 0.51896298
 0.43244484 0.50762093 0.46949437 0.45283788 0.52423882 0.55479079
 0.48473099 0.63186646 0.49030033 0.42264873]",08oi5ot0
2,"[14.85355854 16.68911934 15.84507179 14.09195614 15.7058115  15.03649426
 16.5717392  14.63945484 14.8386507  14.91049957 13.05630684 14.10951519
 13.6799984  15.83159828 15.318367   13.84658909 14.47847843 14.92715836
 15.00919533 14.12260056 12.56770229 14.43034172 13.12829304 14.44714928
 13.75511265 13.67657948 13.21085548 14.03565598]","[0.52515262 0.45458665 0.46103561 0.63586557 0.53267062 0.54025775
 0.49835658 0.52356929 0.44741389 0.54614919 0.6394859  0.53471345
 0.6228345  0.44471139 0.55973923 0.62789398 0.56141442 0.58401304
 0.54189342 0.57824957 0.63338786 0.58014691 0.68631315 0.59531999
 0.66690725 0.62367648 0.68376994 0.62037027]",0d6lhkyn
3,"[13.33421993 14.54499531 14.88971138 14.96009541 12.89992332 14.32104683
 12.98918724 12.82932949 12.08939552 14.60952187 12.14609432 14.73976803
 11.69939899 13.33157635 14.13774109 14.00722504 15.20972061 13.49153519
 15.09891319 13.28501129 16.11694336 13.31076717 14.24944115 15.1659584
 13.60329628 13.44918823 10.80491257 14.89830971]","[0.46663514 0.36832786 0.19424592 0.44898698 0.52352887 0.51312989
 0.53208518 0.43600088 0.37394285 0.42146662 0.51958698 0.43539864
 0.57278979 0.23996967 0.46266222 0.36561987 0.40040228 0.43465549
 0.27548319 0.29733467 0.20181382 0.33381945 0.47183621 0.49013996
 0.53219712 0.54985726 0.65279901 0.45822662]",0l0w57fc
4,"[16.24592781 15.34849262 15.99538422 17.35663414 15.15298748 13.97939014
 14.04783726 14.22898769 15.36303043 15.83448315 16.52336502 15.12629318
 15.10851955 14.52179432 16.29460907 13.04686451 14.3420887  14.7203989
 15.53256702 12.91908169 14.46184921 14.95746326 15.50762653 15.86624718
 15.15318203 14.38259411 14.99119568 13.37062073]","[0.39243218 0.4811483  0.4351629  0.37591001 0.52471375 0.523408
 0.57205141 0.49476269 0.40935689 0.41970852 0.36812681 0.34252053
 0.44082636 0.49781165 0.41164455 0.6239571  0.44550529 0.49393758
 0.4645327  0.63064981 0.434414   0.47636777 0.49973515 0.37506977
 0.499091   0.49108195 0.51021475 0.53033012]",0qpop5a9
5,"[15.49350452 12.06402397 16.12379074 14.875453   14.39349365 15.21279907
 14.74354935 15.11248589 16.9021244  14.68633366 14.64737701 15.14615345
 12.15955448 14.82630157 12.50353241 11.2559557  11.27769756 13.37829971
 14.09724236 15.05435944 15.26443958 15.71562767  9.7478323  11.12681007
 13.00806618 10.10088921 11.19197845 12.84705067]","[0.36195505 0.57014078 0.38530585 0.29886034 0.33578634 0.20776455
 0.36057752 0.2566101  0.28750628 0.25648907 0.24649149 0.1374044
 0.53339493 0.39073455 0.35027808 0.46215773 0.4199442  0.3294436
 0.43031251 0.33208853 0.27686927 0.3246797  0.56027955 0.37662157
 0.32053784 0.47064397 0.48805013 0.27127147]",0ri46tfh
6,"[16.04569054 16.61794472 16.89228058 17.29963684 16.00964928 16.02082634
 16.90862274 14.54231167 14.35049725 15.28093243 14.34675121 14.45768261
 13.69620419 14.29050255 14.61703587 14.12227917 15.03275204 14.5812521
 13.81104469 15.85668468 14.57986546 13.98959923 14.38955116 16.23156548
 15.0684185  14.78486156 15.074687   15.18489456]","[0.46305636 0.3166596  0.34239596 0.35897613 0.3914533  0.41088608
 0.29564199 0.50894415 0.54977775 0.52155435 0.53824759 0.54445595
 0.56792057 0.46110234 0.48631921 0.45317566 0.40614015 0.39026165
 0.57040405 0.36462677 0.48252699 0.48630679 0.52028871 0.40771347
 0.45570642 0.45013508 0.38019705 0.39709696]",10xj3h72
7,"[15.49826622 14.28746128 16.18718719 16.06317139 16.1997776  16.38085365
 16.87312126 14.29370308 13.82224464 14.73079395 12.11780834 13.67576027
 14.03449535 15.47274876 14.9868927  13.58382702 14.76570225 15.38864994
 15.2074461  14.41182709 14.01005459 14.48018456 13.07040596 15.12417507
 14.11463547 12.92790031 13.48814869 12.80733967]","[0.36586791 0.41412559 0.35801339 0.36904478 0.26966479 0.29086015
 0.25192961 0.35191649 0.4964062  0.428873   0.55347466 0.46249598
 0.43771991 0.31007347 0.35547739 0.37321758 0.30755839 0.25320002
 0.4346298  0.4242388  0.48229188 0.44993988 0.52940929 0.39748567
 0.47866309 0.49119517 0.4501116  0.53149265]",1qm1gvxq
8,"[12.56612682 16.66614151 14.94887352 13.68192387 15.17061615 14.70806026
 14.1751194  15.39842033 11.63944054 13.64048767 14.49611759 15.02474976
 13.69944572 15.39244366 15.08211327 15.90913677 16.6638298  16.39780998
 14.48782539 15.30504322 15.81552887 15.52774525 13.00874805 13.59232712
 14.68636322 12.38295174 13.25616741 15.16085911]","[0.66795594 0.46106991 0.55926663 0.60135072 0.32187322 0.52109712
 0.53202569 0.52225596 0.72300708 0.58460623 0.33383837 0.47411457
 0.53725654 0.55024213 0.53657252 0.29770303 0.41198567 0.4005588
 0.5645839  0.34413433 0.46078822 0.45287061 0.48566023 0.56312549
 0.45752805 0.49329406 0.29419616 0.38974628]",2iaym4x3
9,"[16.95285988 18.31059837 16.95440674 17.18518066 15.95787716 17.54096413
 17.19459534 17.24184227 19.05533409 18.40490341 16.04004097 18.37345695
 17.99394608 18.5971756  17.74430466 18.36457634 16.62319565 17.70000076
 17.71751785 16.05447197 12.75200844 14.98765182 17.03804779 16.73453712
 16.79792023 15.99971008 16.64210129 15.31475925]","[0.42414638 0.30336979 0.26028538 0.35509014 0.41071254 0.10867873
 0.2098331  0.47700658 0.24642071 0.3802512  0.50980407 0.23668355
 0.31180266 0.25910789 0.40792987 0.33588752 0.36065251 0.31094959
 0.29208362 0.38323811 0.51118791 0.3743746  0.40108353 0.30762812
 0.34510079 0.3218506  0.31408265 0.25642848]",39mr6yrh
